Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,Selection_Markers,Mod_Method,Mod_Direction
10057709.pdf,10.3390/ijms24065766,Populus deltoides × p. euramericana,CRISPR/Cas9 knockout,Decreased adventitious root formation,Number of ARs decreased by 1-fold | Expression levels decreased significantly | Average number of ARs decreased by 1-fold,,"Gene Expression, Root Property",lncWOX11a,,CRISPR/Cas9,Knockdown/Out
10058240.pdf,10.1126/sciadv.ade9756,Gynandropsis gynandra,Evolutionary cis-regulatory modifications,Enhanced expression of C4 pathway genes during de-etiolation,Stronger induction of C4 genes compared to C3 orthologs; increased chromatin accessibility,Contains enriched LREs such as G-box and I-box motifs,"Photosynthesis, C4 Photosynthesis",C4 photosynthesis genes,,Unknown,Modification
10069907.pdf,10.1093/plphys/kiad040,Arabidopsis thaliana,CRISPR-Cas9 knockout,No abnormal phenotype under standard conditions,,,"Gene Expression, Plant Transformation",mFDX-like,,CRISPR/Cas9,Knockdown/Out
10070625.pdf,10.1038/s41598-023-31072-2,Glycine max,Transgenic expression,"Insect resistance, Herbicide resistance","No significant difference in growth performance, survival rate, feeding rate, and enzyme activity compared to non-transgenic soybeans.",,"Disease Resistance, Herbicide Resistance","cp4-epsps, Vip3Aa, pat",,Unknown,Modification
10073493.pdf,10.3389/fmicb.2023.1062548,Triticum aestivum,EMS-induced point mutation,Leaf Rust Resistance,Yield Loss Reduction: 5-15%; Seedling Stage Yield Reduction: 50%,,Disease Resistance,Lr19,,Unknown,Mutation
10073493.pdf,10.3389/fmicb.2023.1062548,Triticum aestivum,Resistance Gene,Leaf Rust Resistance,Yield Loss Reduction: 5-15%; Seedling Stage Yield Reduction: 50%,,Disease Resistance,Lr19,,Unknown,Modification
10082683.pdf,10.7759/cureus.35958,Hsv-1,Mutation,Resistance to ACV,95% of cases due to mutations in UL23 gene; R220H substitution in TK; decrease in virus titer from 3.31 ± 0.16 to 2.01 ± 0.11 lg PFU/ml,,Disease Resistance,UL23,,Unknown,Mutation
10094877.pdf,10.3390/ijms24076727,Oryza sativa,Agrobacterium-mediated overexpression under the CaMV 35S promoter,Improved cold tolerance,Higher survival rate; Lower ion leakage; Increased ROS scavenging ability,CaMV 35S promoter,"Drought Tolerance, Disease Resistance, Cold Stress Tolerance",OsLUX,,Agrobacterium,Overexpression
10094877.pdf,10.3390/ijms24076727,Oryza sativa,Overexpression under CaMV 35S promoter,Improved cold tolerance,Higher survival rate; Lower ion leakage; Increased ROS scavenging ability,CaMV 35S promoter,"Drought Tolerance, Disease Resistance, Cold Stress Tolerance",OsLUX,,Unknown,Overexpression
10095262.pdf,10.3390/ijms24076533,Citrus reticulata,Upregulation,Enhanced photosynthetic efficiency,PsaD upregulated; PsaE upregulated; PsaK upregulated; PsaN upregulated; PsaO upregulated | AUX/IAA downregulated | GA3 upregulated | CTK upregulated | Expression levels increased in HAM vs HM; Expression levels unchanged in HAM vs HDM | Expression levels increased in HAM vs HM; Expression levels partially increased in HAM vs HDM | Expression levels increased in HAM vs HM; Expression levels increased in HAM vs HDM | Expression levels increased in HAM vs HM | Expression levels increased in HAM vs HM and HAM vs HDM,,"Photosynthesis, Above-Ground Biomass Property","PsaD, PsaE, PsaK, PsaN, PsaO",,Unknown,Overexpression
10095262.pdf,10.3390/ijms24076533,Citrus reticulata,Upregulation,Enhanced photosynthetic efficiency,PsaD upregulated; PsaE upregulated; PsaK upregulated; PsaN upregulated; PsaO upregulated | AUX/IAA downregulated | GA3 upregulated | CTK upregulated | Expression levels increased in HAM vs HM; Expression levels unchanged in HAM vs HDM | Expression levels increased in HAM vs HM; Expression levels partially increased in HAM vs HDM | Expression levels increased in HAM vs HM; Expression levels increased in HAM vs HDM | Expression levels increased in HAM vs HM | Expression levels increased in HAM vs HM and HAM vs HDM,,"Gene Expression, Above-Ground Biomass Property","PsaD, PsaE, PsaK, PsaN, PsaO",,Unknown,Overexpression
10107268.pdf,10.1111/nph.18592,Arabidopsis thaliana,T-DNA insertional knockout,"Enhanced defense responses, increased ROS production, cell death",RBOHD expression: 1.5-fold increase; RBOHF expression: 1.2-fold increase; H2O2 accumulation: 2.0-fold increase,,"Disease Resistance, Defense Responses",OXI1,,Unknown,Knockdown/Out
10107268.pdf,10.1111/nph.18592,Arabidopsis thaliana,Overexpression,"Enhanced defense responses, increased ROS production, cell death",RBOHD expression: 1.5-fold increase; RBOHF expression: 1.2-fold increase; H2O2 accumulation: 2.0-fold increase,,"Disease Resistance, Defense Responses",OXI1,,Unknown,Overexpression
10108627.pdf,10.3389/fpls.2023.1133518,Perilla frutescens,CRISPR/Cas9 knockout,"Enhanced leaf production, delayed flowering",50% increase in leaf production; flowering delayed by 23 days,,"Above-Ground Biomass Property, Flowering",PfHd3a,,CRISPR/Cas9,Knockdown/Out
10113404.pdf,10.1186/s12284-023-00634-3,Oryza sativa,EMS-induced point mutation,narrow and stripe leaf,leaf blade width reduction: 17.5%; 23.9%; 41.1%; number of large veins reduction: 27%; number of small veins reduction: 57.6%; number of small veins between large veins: 4.8 vs 3.3,,"Leaf Property, Leaf Yield, Disease Resistance",NSL2,,Unknown,Mutation
10113404.pdf,10.1186/s12284-023-00634-3,Oryza sativa,EMS-induced mutation,narrow and stripe leaf,leaf blade width reduction: 17.5%; 23.9%; 41.1%; number of large veins reduction: 27%; number of small veins reduction: 57.6%; number of small veins between large veins: 4.8 vs 3.3,,"Leaf Property, Leaf Yield, Disease Resistance",NSL2,,Unknown,Mutation
10115308.pdf,10.1371/journal.ppat.1011319,Nicotiana benthamiana,Agrobacterium-mediated transient overexpression,Attenuated TYLCCNV/TYLCCNB infection,Symptoms delayed; Viral DNA accumulation reduced,CaMV 35S promoter,"Disease Resistance, Plant Transformation",NbWRKY1,,Agrobacterium,Overexpression
10115308.pdf,10.1371/journal.ppat.1011319,Nicotiana benthamiana,Transient overexpression using Agrobacterium-mediated infiltration,Attenuated TYLCCNV/TYLCCNB infection,Symptoms delayed; Viral DNA accumulation reduced,CaMV 35S promoter,"Disease Resistance, Plant Transformation",NbWRKY1,,Agrobacterium,Overexpression
10127609.pdf,10.1128/mbio.03424-22,Pseudomonas simiae,EMS-induced point mutation,Loss of function in ornithine carbamoyltransferase activity,pH of seedling exudates: 5.0; Growth defect in rhizosphere: Yes,,"Disease Resistance, Rhizosphere Acidiﬁcation",argF,,Unknown,Mutation
10127609.pdf,10.1128/mbio.03424-22,Pseudomonas simiae,EMS point mutation,Loss of function in ornithine carbamoyltransferase activity,pH of seedling exudates: 5.0; Growth defect in rhizosphere: Yes,,"Disease Resistance, Rhizosphere Acidiﬁcation",argF,,Unknown,Mutation
10134812.pdf,10.1128/msystems.01131-22,Thalassiosira pseudonana,Gene bombardment transformation,Increased chitin synthase activity; Abnormal cell morphology,Chitin synthase activity: 2.9-fold increase; Cell length reduction: 5 μm,,"Above-Ground Biomass Property, Biosensing, Biofuel Precursors",TpCHS1,,Biolistics,Modification
10134812.pdf,10.1128/msystems.01131-22,Thalassiosira pseudonana,Overexpression using Agrobacterium-mediated transformation,Increased chitin synthase activity; Abnormal cell morphology,Chitin synthase activity: 2.9-fold increase; Cell length reduction: 5 μm,,"Above-Ground Biomass Property, Biosensing, Biofuel Precursors",TpCHS1,,Agrobacterium,Overexpression
10138968.pdf,10.3390/ijms24086886,Phyllostachys edulis,Agrobacterium-mediated overexpression,Longer hypocotyls and roots,Hypocotyl length: 0.4-0.5 cm; Root length: 1.5-2.0 cm,35S,"Above-Ground Biomass Property, Root Property",PePRE1,,Agrobacterium,Overexpression
10138990.pdf,10.3390/ijms24087128,Arabidopsis thaliana,Transposon-mediated knockout,Disease resistance,TuMV-CP gene expression: 2.7-fold at 3 dpi; 13.58-fold at 14 dpi in Col-0; 13.58-fold at 14 dpi in rbohD mutants,,Disease Resistance,"RbohD, RbohF",,Unknown,Knockdown/Out
10138990.pdf,10.3390/ijms24087128,Arabidopsis thaliana,Observational Study (RNA-seq / Transcriptomics),Disease resistance,TuMV-CP gene expression: 2.7-fold at 3 dpi; 13.58-fold at 14 dpi in Col-0; 13.58-fold at 14 dpi in rbohD mutants,,Disease Resistance,"RbohD, RbohF",,Unknown,Modification
10142437.pdf,10.3390/plants12081614,Zea mays,Agrobacterium-mediated overexpression,"Enhanced Rubisco activation state, increased photosynthetic rate",Net Photosynthetic Rate: 33.610 ± 4.962 μmol·m⁻²·s⁻¹; Intercellular CO₂ Concentration: 30.700 ± 14.407 mol·m⁻²·s⁻¹ | Initial Rubisco activity increased by 13.19%; Total Rubisco activity unchanged; Intercellular CO2 concentration decreased by 35.37%,35S | 35S promoter,"Photosynthesis, Plant Transformation, Above-Ground Biomass Property",OsRCA,,Agrobacterium,Overexpression
10142437.pdf,10.3390/plants12081614,Zea mays,Agrobacterium-mediated overexpression,"Enhanced Rubisco activation state, increased photosynthetic rate",Net Photosynthetic Rate: 33.610 ± 4.962 μmol·m⁻²·s⁻¹; Intercellular CO₂ Concentration: 30.700 ± 14.407 mol·m⁻²·s⁻¹ | Initial Rubisco activity increased by 13.19%; Total Rubisco activity unchanged; Intercellular CO2 concentration decreased by 35.37%,35S | 35S promoter,"Photosynthesis, Above-Ground Biomass Yield",OsRCA,,Agrobacterium,Overexpression
10152689.pdf,10.1093/plphys/kiad078,Oryza sativa,CRISPR/Cas9 knockout,Grain yield per panicle (GYPP); Heading date (HD),41.4 g; 7-10 d shorter,,Yield; Disease Resistance,Ghd8,,CRISPR/Cas9,Knockdown/Out
10160378.pdf,10.3389/fpls.2023.1154431,Arabidopsis thaliana,T-DNA insertional knockout,Stomatal closure modulation,GUS activity: 700% (root wounding); 300% (leaf wounding) | Stomatal closure: 50% (root wounding),AtCuAOb promoter,"Stomatal Closure, Stress Response",AtCuAOb,,Unknown,Knockdown/Out
10160378.pdf,10.3389/fpls.2023.1154431,Arabidopsis thaliana,T-DNA insertional knockout,Impaired systemic stomatal closure,GUS activity: 700% (root wounding); 300% (leaf wounding) | Stomatal closure: 50% (root wounding),AtCuAOb promoter,"Stomatal Closure, Stress Response",AtCuAOb,,Unknown,Knockdown/Out
10179023.pdf,10.3390/ijms24098025,Oryza sativa,CRISPR/Cas9-mediated knockout,Enhanced salinity tolerance,84% editing efficiency; 58.82% editing efficiency,Maize ubiquitin promoter (Pubi),"Drought Tolerance, Salinity Tolerance",OsRR22,,CRISPR/Cas9,Knockdown/Out
10179023.pdf,10.3390/ijms24098025,Oryza sativa,CRISPR/Cas9-mediated gene knockout,Enhanced salinity tolerance,84% editing efficiency; 58.82% editing efficiency,Maize ubiquitin promoter (Pubi),"Drought Tolerance, Salinity Tolerance",OsRR22,,CRISPR/Cas9,Knockdown/Out
10179174.pdf,10.3390/ijms24098007,Brassica napus,Agrobacterium-mediated overexpression,"Enhanced drought tolerance, reduced stomatal density, smaller stomatal complex size",Stomatal density decline: 19.02%; Stomatal index decline: 6.90%; Leaf temperature increase: 0.23°C–1°C; Recovery rate after drought: 70.14%; WT recovery rate: 8.33%,Bna.EPF2 promoter,"Drought Tolerance, Water Utilization",Bna.EPF2,,Agrobacterium,Overexpression
10179397.pdf,10.3390/ijms24098430,Dioscorea zingiberensis,Gene overexpression via Agrobacterium-mediated transformation,Increased diosgenin biosynthesis and improved drought adaptability,Diosgenin production increased by 12.5%; Germination rate improved by 18%; MDA concentration reduced by 20%,,"Drought Tolerance, Chemicals, Pharmaceutical Precursors",DzCYP72A12-4,,Agrobacterium,Overexpression
10199123.pdf,10.1093/jxb/erad080,Arabidopsis thaliana,Point mutation (A397T),Xylem vessel collapse and activation of defense responses,Increased lignin content; altered cell wall composition,,"Disease Resistance, Cell Wall Composition",CRK10,,Unknown,Mutation
10200097.pdf,10.7717/peerj.15315,Oryza sativa,CRISPR/Cas9 knockout,Improved water retention in leaves,,Rice actin promoter,"Drought Tolerance, Above-Ground Biomass Property",OsABCB14,,CRISPR/Cas9,Knockdown/Out
10217609.pdf,10.3390/foods12101977,Apple,Agrobacterium-mediated transient overexpression and virus-induced gene silencing (VIGS),changes in volatile ester content,ester content decreased by 1.5 times; total volatile substances decreased by 2 times,,"Above-Ground Biomass Property, Disease Resistance",MdCXE20,,Agrobacterium,Overexpression
10225592.pdf,10.3389/fimmu.2023.1175786,Arabidopsis thaliana,T-DNA insertional knockout,Defective immune response,H₂O₂ levels: 30 nmol·g⁻¹ FW; JA levels: 10 ng·g⁻¹ FW; SA levels: N/A,,"Disease Resistance, Immune Response",ATM and ATR,,Unknown,Knockdown/Out
10226984.pdf,10.1038/s41467-023-38812-y,Setaria italica,CRISPR/Cas9 knockout,"Reduced grain yield, semi-dwarf phenotype",Grain number per panicle: 12.8% reduction; 1000-grain weight: 12.8% reduction,,"Grain Yield, Disease Resistance",SGD1,,CRISPR/Cas9,Knockdown/Out
10236108.pdf,10.1007/s11032-021-01219-y,Zea mays,CRISPR/Cas9 knockout,Disease Resistance,Increased resistance to Northern corn leaf blight | Increased resistance to Gray leaf spot | Increased resistance to Southern corn leaf blight | Increased resistance to Gibberella stalk rot | Increased resistance to Maize rough dwarf disease | Lesion size; Disease severity | Lesion progression; Programmed cell death | Lignin production; Metabolite levels | Transposon insertion effect; Histone modification | Viral accumulation; Disease severity,,"Disease Resistance, Plant Transformation",ZmWAK-RLK1,,CRISPR/Cas9,Knockdown/Out
10236108.pdf,10.1007/s11032-021-01219-y,Zea mays,CRISPR/Cas9 knockout,Disease Resistance,Increased resistance to Northern corn leaf blight | Increased resistance to Gray leaf spot | Increased resistance to Southern corn leaf blight | Increased resistance to Gibberella stalk rot | Increased resistance to Maize rough dwarf disease | Lesion size; Disease severity | Lesion progression; Programmed cell death | Lignin production; Metabolite levels | Transposon insertion effect; Histone modification | Viral accumulation; Disease severity,,Disease Resistance,ZmWAK-RLK1,,CRISPR/Cas9,Knockdown/Out
10244696.pdf,10.1016/j.redox.2023.102750,Arabidopsis thaliana,Overexpression,Increased TRX01 expression,RT-qPCR: 5-fold increase; Western blot: 2.5-fold increase,,"Gene Expression, Plant Transformation",TRX01,,Unknown,Overexpression
10249633.pdf,10.3389/fgeed.2023.1176125,Cucumis melo var. reticulatus,CRISPR/Cas9 knockout,Extended fruit shelf-life,Ethylene evolution rate reduced by 50%; Shelf-life extended by 5–14 days,Ubiquitin promoter from parsley,"Fruit Property, Fruit Yield",CmACO1,,CRISPR/Cas9,Knockdown/Out
10267742.pdf,10.3389/fpls.2023.1161181,Brassica campestris l. ssp. pekinensis,EMS mutagenesis,epicuticular wax crystal deficiency,primary alcohol content decreased by 50.5%; ester content decreased by 62.4%,,"Above-Ground Biomass Property, Leaf Property",Brwdm1,,Unknown,Modification
10267742.pdf,10.3389/fpls.2023.1161181,Brassica campestris l. ssp. pekinensis,EMS-induced point mutation,epicuticular wax crystal deficiency,primary alcohol content decreased by 50.5%; ester content decreased by 62.4%,,"Above-Ground Biomass Property, Leaf Property",Brwdm1,,Unknown,Mutation
10269446.pdf,10.1128/spectrum.00544-23,Klebsiella pneumoniae,CRISPR-Cas9 in-frame deletion,Reduced hypermucoviscosity,"String test: negative; Survival probability: 100%; Bacterial load: 1e9 CFU/g in lungs, 1e7 CFU/g in liver and spleen",,"Disease Resistance, Virulence",ompR,,CRISPR/Cas9,Modification
10281607.pdf,10.1111/pbi.14054,Brassica napus,Insertion of a CACTA-like transposable element in the upstream region of BnaA9.CYP78A9,Increased seed yield and pod length,Seed yield increase: 41.9%; Pod length increase: 120 mm,,"Yield Heterosis, Seed Property",BnaA9.CYP78A9,,Unknown,Modification
10281607.pdf,10.1111/pbi.14054,Brassica napus,CACTA-like transposable element insertion,Increased seed yield and pod length,Seed yield increase: 41.9%; Pod length increase: 120 mm,,"Yield Heterosis, Seed Property",BnaA9.CYP78A9,,Unknown,Modification
10289162.pdf,10.3389/fpls.2023.1181257,Manihot esculenta,Virus-induced gene silencing (VIGS),Anthocyanin accumulation,Anthocyanin content in SC9: 12.39 ng/g FW; Anthocyanin content in PL: 413.83 ng/g FW | Expression level in PL: Significantly up-regulated | Expression levels in PL: Significantly up-regulated | Total anthocyanin content in VIGS-MeANR silenced plant: 52.46 ng/g | Total anthocyanin content increased from 12.39 ng/g FW to 413.83 ng/g FW | Expression level of MeANS was highest among the genes in PL vs. SC9 | Expression level of MeANR was significantly down-regulated in PL | Expression level of MeCHS was significantly up-regulated in PL | Expression level of MeCHI was significantly up-regulated in PL,,"Above-Ground Biomass Property, Leaf Property",MeANR,,VIGS,Knockdown/Out
10289162.pdf,10.3389/fpls.2023.1181257,Manihot esculenta,Virus-induced gene silencing (VIGS),Anthocyanin accumulation,Anthocyanin content in SC9: 12.39 ng/g FW; Anthocyanin content in PL: 413.83 ng/g FW | Expression level in PL: Significantly up-regulated | Expression levels in PL: Significantly up-regulated | Total anthocyanin content in VIGS-MeANR silenced plant: 52.46 ng/g | Total anthocyanin content increased from 12.39 ng/g FW to 413.83 ng/g FW | Expression level of MeANS was highest among the genes in PL vs. SC9 | Expression level of MeANR was significantly down-regulated in PL | Expression level of MeCHS was significantly up-regulated in PL | Expression level of MeCHI was significantly up-regulated in PL,,Gene Expression,MeANR,,VIGS,Knockdown/Out
10298014.pdf,10.3390/genes14061132,Aralia elata,Rhizobium-mediated transformation,Increased squalene accumulation,squalene accumulation increased by approximately 3-fold compared with wild type; seven ciwujianosides increased by 2- to 2.5-fold | Squalene content increased by approximately 3-fold; OA content decreased by 2-2.5-fold,CaMV 35S promoter,"Above-Ground Biomass Property, Biosensing, Biofuel Precursors, Gene Expression, Plant Transformation, Seed Property, Seed Yield",PnSS,,Unknown,Modification
10298014.pdf,10.3390/genes14061132,Aralia elata,Rhizobium-mediated transformation,Increased squalene accumulation,squalene accumulation increased by approximately 3-fold compared with wild type; seven ciwujianosides increased by 2- to 2.5-fold | Squalene content increased by approximately 3-fold; OA content decreased by 2-2.5-fold,CaMV 35S promoter,"Above-Ground Biomass Property, Biosensing, Biofuel Precursors, Chemicals, Disease Resistance, Pharmaceutical Precursors",PnSS,,Unknown,Modification
10301586.pdf,10.3390/plants12122284,Oryza sativa,RNAi-mediated knockdown,"Decreased seed viability, reduced mitochondrial metabolism, impaired seed development",Seed width: 2.5 mm; Seed length: 4 mm; 100-grain weight: 1.5 g; Germination rate: 96.5%; Germination rate at P50: 13.6 d,,"Seed Property, Seed Dormancy, Seed Yield",OsAOX1a,,RNAi,Modification
10310818.pdf,10.1038/s41467-023-39426-0,N. benthamiana,CRISPR/Cas9 knockout,Enhanced resistance against late infection of CMV,Knockout of VISP1 leads to 1.5-fold increase in CMV 2b protein accumulation; Overexpression of VISP1 results in 2.0-fold reduction in CMV 2b protein accumulation,,"Disease Resistance, Virus Infection",VISP1,,CRISPR/Cas9,Knockdown/Out
10315917.pdf,10.3389/fpls.2023.1167789,Catalpa fargesii,Virus-induced gene silencing (VIGS),Leaf color,m6A methylation level increased by 1.59 times in yellow leaves (Y1) compared to green leaves (G1); 1.47 times in light green leaves (Y2) compared to green leaves (G2),,Leaf Property,CfALKBH5,,VIGS,Knockdown/Out
10315917.pdf,10.3389/fpls.2023.1167789,Catalpa fargesii,m6A methylation,Leaf color,m6A methylation level increased by 1.59 times in yellow leaves (Y1) compared to green leaves (G1); 1.47 times in light green leaves (Y2) compared to green leaves (G2),,Leaf Property,CfALKBH5,,Unknown,Modification
10319422.pdf,10.3389/fpls.2023.1210134,Oryza sativa,CRISPR/Cas9 gene editing technology with frameshift mutations,Lysine Content,Lysine level in knockout mutants; Lysine level in wild type | lysine content increased in mutants,,"Plant Transformation, Nutrient Utilization","OsLC4, OsLC3",,CRISPR/Cas9,Mutation
10319422.pdf,10.3389/fpls.2023.1210134,Oryza sativa,CRISPR/Cas9 gene editing technology with frameshift mutations,Lysine Content,Lysine level in knockout mutants; Lysine level in wild type | lysine content increased in mutants,,Nutrient Utilization,"OsLC4, OsLC3",,CRISPR/Cas9,Mutation
10320291.pdf,10.3389/fpls.2023.1213662,Scutellaria baicalensis,Plant transformation via somatic embryogenesis,Increased baicalin biosynthesis,Baicalin content increased by 14%; Wogonoside content increased by 13%,,"Pharmaceutical Precursors, Above-Ground Biomass Property",SbWRKY75,,Unknown,Modification
10320291.pdf,10.3389/fpls.2023.1213662,Scutellaria baicalensis,Overexpression via somatic embryogenesis,Increased baicalin biosynthesis,Baicalin content increased by 14%; Wogonoside content increased by 13%,,"Pharmaceutical Precursors, Above-Ground Biomass Property",SbWRKY75,,Unknown,Overexpression
10320761.pdf,10.1093/g3journal/jkad100,Oryza sativa,Overexpression,Dwarf plant stature and aberrant panicle development,Plant height: 45 cm; WT plant height: 90 cm; Panicle length: 10 cm; WT panicle length: 30 cm; Grain number per panicle: 50; WT grain number per panicle: 200; Primary branch number: 12; WT primary branch number: 15; Secondary branch number: 1; WT secondary branch number: 30 | Plant Height: 45 cm; Panicle Length: 10 cm; Grain Number per Panicle: 51.5 grains,,"Above-Ground Biomass Property, Flowering, Fruit Property, Fruit Yield",OsWUS,,Unknown,Overexpression
10320761.pdf,10.1093/g3journal/jkad100,Oryza sativa,Overexpression,Dwarf plant stature and aberrant panicle development,Plant height: 45 cm; WT plant height: 90 cm; Panicle length: 10 cm; WT panicle length: 30 cm; Grain number per panicle: 50; WT grain number per panicle: 200; Primary branch number: 12; WT primary branch number: 15; Secondary branch number: 1; WT secondary branch number: 30 | Plant Height: 45 cm; Panicle Length: 10 cm; Grain Number per Panicle: 51.5 grains,,"Above-Ground Biomass Property, Flowering, Seed Property, Plant Transformation",OsWUS,,Unknown,Overexpression
10324140.pdf,10.1186/s13007-023-01041-x,Oryza sativa,Agrobacterium-mediated overexpression,Increased chloroplast area in bundle sheath cells,Chloroplast area: 7-54 µm²; Chloroplast number: 8-25 per cell,ZmUbi,"Photosynthesis, Chloroplast Development",ZmG2,,Agrobacterium,Overexpression
10324140.pdf,10.1186/s13007-023-01041-x,Oryza sativa,Overexpression using pZmUbi promoter,Increased chloroplast area in bundle sheath cells,Chloroplast area: 7-54 µm²; Chloroplast number: 8-25 per cell,ZmUbi,"Photosynthesis, Chloroplast Development",ZmG2,,Unknown,Overexpression
10345981.pdf,10.1002/pld3.507,Eucalyptus,CRISPR/Cas9 knockout,Male-sterility,Pollen production decreased; Floral development altered | Pollen development abnormal; Meiosis affected | Pollen production reduced; Stigma development affected | Abnormal pollen grains; complete absence of visible stigma,Medicago truncatula U6,"Gene Expression, Flowering, Fruit Property, Seed Property",ETDF1,,CRISPR/Cas9,Knockdown/Out
10345981.pdf,10.1002/pld3.507,Eucalyptus,CRISPR/Cas9 knockout,Male-sterility,Pollen production decreased; Floral development altered | Pollen development abnormal; Meiosis affected | Pollen production reduced; Stigma development affected | Abnormal pollen grains; complete absence of visible stigma,Medicago truncatula U6,"Flowering, Male Sterility, Genetic Containment",ETDF1,,CRISPR/Cas9,Knockdown/Out
10346376.pdf,10.1111/mpp.13342,Solanum tuberosum,Agrobacterium-mediated transient transformation,Enhanced susceptibility to R. solanacearum,Increased disease severity; Increased electrolyte leakage,CaMV 35S promoter,Disease Resistance,RipBT,,Agrobacterium,Modification
10346376.pdf,10.1111/mpp.13342,Solanum tuberosum,Overexpression,Enhanced susceptibility to R. solanacearum,Increased disease severity; Increased electrolyte leakage,CaMV 35S promoter,Disease Resistance,RipBT,,Unknown,Overexpression
10346813.pdf,10.3390/plants12132474,Vernicia fordii,GateWay cloning method,Increased expression of VfRR17 gene leading to female flower differentiation,Expression level increased 3.47-fold at 24 hours post-treatment; peak expression at 1 DBF in female flowers (5.63-fold increase); peak expression at 20 DBF in male flowers (2.01-fold increase),,Not Explicitly Named,VfRR17,,Unknown,Modification
