Filename,DOI,Species,Mod_type,Phenotype,Quant_Data,Promoter,Application_Category,Gene_Target,,Mod_Method,Mod_Direction
10070625.pdf,10.1038/s41598-023-31072-2,glycine max,transgenic expression,"insect resistance, herbicide resistance","no significant difference in growth performance, survival rate, feeding rate, and enzyme activity compared to non-transgenic soybeans.",,"disease resistance, herbicide resistance","cp4-epsps, vip3aa, pat",,unknown,modification
10073493.pdf,10.3389/fmicb.2023.1062548,triticum aestivum,ems-induced point mutation,leaf rust resistance,yield loss reduction: 5-15%; seedling stage yield reduction: 50%,,disease resistance,lr19,,unknown,mutation
10082683.pdf,10.7759/cureus.35958,hsv-1,mutation,resistance to acv,95% of cases due to mutations in ul23 gene; r220h substitution in tk; decrease in virus titer from 3.31 ± 0.16 to 2.01 ± 0.11 lg pfu/ml,,disease resistance,ul23,,unknown,mutation
10094877.pdf,10.3390/ijms24076727,oryza sativa,agrobacterium-mediated overexpression under the camv 35s promoter,improved cold tolerance,higher survival rate; lower ion leakage; increased ros scavenging ability,camv 35s promoter,"drought tolerance, disease resistance, cold stress tolerance",oslux,,agrobacterium,overexpression
10095262.pdf,10.3390/ijms24076533,citrus reticulata,upregulation,enhanced photosynthetic efficiency,psad upregulated; psae upregulated; psak upregulated; psan upregulated; psao upregulated | aux/iaa downregulated | ga3 upregulated | ctk upregulated | expression levels increased in ham vs hm; expression levels unchanged in ham vs hdm | expression levels increased in ham vs hm; expression levels partially increased in ham vs hdm | expression levels increased in ham vs hm; expression levels increased in ham vs hdm | expression levels increased in ham vs hm | expression levels increased in ham vs hm and ham vs hdm,,"photosynthesis, above-ground biomass property","psad, psae, psak, psan, psao",,unknown,overexpression
10107268.pdf,10.1111/nph.18592,arabidopsis thaliana,t-dna insertional knockout,"enhanced defense responses, increased ros production, cell death",rbohd expression: 1.5-fold increase; rbohf expression: 1.2-fold increase; h2o2 accumulation: 2.0-fold increase,,"disease resistance, defense responses",oxi1,,unknown,knockdown/out
10108627.pdf,10.3389/fpls.2023.1133518,perilla frutescens,crispr/cas9 knockout,"enhanced leaf production, delayed flowering",50% increase in leaf production; flowering delayed by 23 days,,"above-ground biomass property, flowering",pfhd3a,,crispr/cas9,knockdown/out
10113404.pdf,10.1186/s12284-023-00634-3,oryza sativa,ems-induced point mutation,narrow and stripe leaf,leaf blade width reduction: 17.5%; 23.9%; 41.1%; number of large veins reduction: 27%; number of small veins reduction: 57.6%; number of small veins between large veins: 4.8 vs 3.3,,"leaf property, leaf yield, disease resistance",nsl2,,unknown,mutation
10115308.pdf,10.1371/journal.ppat.1011319,nicotiana benthamiana,agrobacterium-mediated transient overexpression,attenuated tylccnv/tylccnb infection,symptoms delayed; viral dna accumulation reduced,camv 35s promoter,"disease resistance, plant transformation",nbwrky1,,agrobacterium,overexpression
10127609.pdf,10.1128/mbio.03424-22,pseudomonas simiae,ems-induced point mutation,loss of function in ornithine carbamoyltransferase activity,ph of seedling exudates: 5.0; growth defect in rhizosphere: yes,,"disease resistance, rhizosphere acidiﬁcation",argf,,unknown,mutation
10134812.pdf,10.1128/msystems.01131-22,thalassiosira pseudonana,gene bombardment transformation,increased chitin synthase activity; abnormal cell morphology,chitin synthase activity: 2.9-fold increase; cell length reduction: 5 μm,,"above-ground biomass property, biosensing, biofuel precursors",tpchs1,,biolistics,modification
10138968.pdf,10.3390/ijms24086886,phyllostachys edulis,agrobacterium-mediated overexpression,longer hypocotyls and roots,hypocotyl length: 0.4-0.5 cm; root length: 1.5-2.0 cm,35s,"above-ground biomass property, root property",pepre1,,agrobacterium,overexpression
10138990.pdf,10.3390/ijms24087128,arabidopsis thaliana,transposon-mediated knockout,disease resistance,tumv-cp gene expression: 2.7-fold at 3 dpi; 13.58-fold at 14 dpi in col-0; 13.58-fold at 14 dpi in rbohd mutants,,disease resistance,"rbohd, rbohf",,unknown,knockdown/out
10142437.pdf,10.3390/plants12081614,zea mays,agrobacterium-mediated overexpression,"enhanced rubisco activation state, increased photosynthetic rate",net photosynthetic rate: 33.610 ± 4.962 μmol·m⁻²·s⁻¹; intercellular co₂ concentration: 30.700 ± 14.407 mol·m⁻²·s⁻¹ | initial rubisco activity increased by 13.19%; total rubisco activity unchanged; intercellular co2 concentration decreased by 35.37%,35s | 35s promoter,"photosynthesis, plant transformation, above-ground biomass property",osrca,,agrobacterium,overexpression
10152689.pdf,10.1093/plphys/kiad078,oryza sativa,crispr/cas9 knockout,grain yield per panicle (gypp); heading date (hd),41.4 g; 7-10 d shorter,,yield; disease resistance,ghd8,,crispr/cas9,knockdown/out
10160378.pdf,10.3389/fpls.2023.1154431,arabidopsis thaliana,t-dna insertional knockout,stomatal closure modulation,gus activity: 700% (root wounding); 300% (leaf wounding) | stomatal closure: 50% (root wounding),atcuaob promoter,"stomatal closure, stress response",atcuaob,,unknown,knockdown/out
10179023.pdf,10.3390/ijms24098025,oryza sativa,crispr/cas9-mediated knockout,enhanced salinity tolerance,84% editing efficiency; 58.82% editing efficiency,maize ubiquitin promoter (pubi),"drought tolerance, salinity tolerance",osrr22,,crispr/cas9,knockdown/out
10179174.pdf,10.3390/ijms24098007,brassica napus,agrobacterium-mediated overexpression,"enhanced drought tolerance, reduced stomatal density, smaller stomatal complex size",stomatal density decline: 19.02%; stomatal index decline: 6.90%; leaf temperature increase: 0.23°c–1°c; recovery rate after drought: 70.14%; wt recovery rate: 8.33%,bna.epf2 promoter,"drought tolerance, water utilization",bna.epf2,,agrobacterium,overexpression
10179397.pdf,10.3390/ijms24098430,dioscorea zingiberensis,gene overexpression via agrobacterium-mediated transformation,increased diosgenin biosynthesis and improved drought adaptability,diosgenin production increased by 12.5%; germination rate improved by 18%; mda concentration reduced by 20%,,"drought tolerance, chemicals, pharmaceutical precursors",dzcyp72a12-4,,agrobacterium,overexpression
10199123.pdf,10.1093/jxb/erad080,arabidopsis thaliana,point mutation (a397t),xylem vessel collapse and activation of defense responses,increased lignin content; altered cell wall composition,,"disease resistance, cell wall composition",crk10,,unknown,mutation
10200097.pdf,10.7717/peerj.15315,oryza sativa,crispr/cas9 knockout,improved water retention in leaves,,rice actin promoter,"drought tolerance, above-ground biomass property",osabcb14,,crispr/cas9,knockdown/out
10217609.pdf,10.3390/foods12101977,apple,agrobacterium-mediated transient overexpression and virus-induced gene silencing (vigs),changes in volatile ester content,ester content decreased by 1.5 times; total volatile substances decreased by 2 times,,"above-ground biomass property, disease resistance",mdcxe20,,agrobacterium,overexpression
10225592.pdf,10.3389/fimmu.2023.1175786,arabidopsis thaliana,t-dna insertional knockout,defective immune response,h₂o₂ levels: 30 nmol·g⁻¹ fw; ja levels: 10 ng·g⁻¹ fw; sa levels: n/a,,"disease resistance, immune response",atm and atr,,unknown,knockdown/out
10226984.pdf,10.1038/s41467-023-38812-y,setaria italica,crispr/cas9 knockout,"reduced grain yield, semi-dwarf phenotype",grain number per panicle: 12.8% reduction; 1000-grain weight: 12.8% reduction,,"grain yield, disease resistance",sgd1,,crispr/cas9,knockdown/out
10236108.pdf,10.1007/s11032-021-01219-y,zea mays,crispr/cas9 knockout,disease resistance,increased resistance to northern corn leaf blight | increased resistance to gray leaf spot | increased resistance to southern corn leaf blight | increased resistance to gibberella stalk rot | increased resistance to maize rough dwarf disease | lesion size; disease severity | lesion progression; programmed cell death | lignin production; metabolite levels | transposon insertion effect; histone modification | viral accumulation; disease severity,,"disease resistance, plant transformation",zmwak-rlk1,,crispr/cas9,knockdown/out
10244696.pdf,10.1016/j.redox.2023.102750,arabidopsis thaliana,overexpression,increased trx01 expression,rt-qpcr: 5-fold increase; western blot: 2.5-fold increase,,"gene expression, plant transformation",trx01,,unknown,overexpression
10249633.pdf,10.3389/fgeed.2023.1176125,cucumis melo var. reticulatus,crispr/cas9 knockout,extended fruit shelf-life,ethylene evolution rate reduced by 50%; shelf-life extended by 5–14 days,ubiquitin promoter from parsley,"fruit property, fruit yield",cmaco1,,crispr/cas9,knockdown/out
10267742.pdf,10.3389/fpls.2023.1161181,brassica campestris l. ssp. pekinensis,ems mutagenesis,epicuticular wax crystal deficiency,primary alcohol content decreased by 50.5%; ester content decreased by 62.4%,,"above-ground biomass property, leaf property",brwdm1,,unknown,modification
10269446.pdf,10.1128/spectrum.00544-23,klebsiella pneumoniae,crispr-cas9 in-frame deletion,reduced hypermucoviscosity,"string test: negative; survival probability: 100%; bacterial load: 1e9 cfu/g in lungs, 1e7 cfu/g in liver and spleen",,"disease resistance, virulence",ompr,,crispr/cas9,modification
10281607.pdf,10.1111/pbi.14054,brassica napus,insertion of a cacta-like transposable element in the upstream region of bnaa9.cyp78a9,increased seed yield and pod length,seed yield increase: 41.9%; pod length increase: 120 mm,,"yield heterosis, seed property",bnaa9.cyp78a9,,unknown,modification
10289162.pdf,10.3389/fpls.2023.1181257,manihot esculenta,virus-induced gene silencing (vigs),anthocyanin accumulation,anthocyanin content in sc9: 12.39 ng/g fw; anthocyanin content in pl: 413.83 ng/g fw | expression level in pl: significantly up-regulated | expression levels in pl: significantly up-regulated | total anthocyanin content in vigs-meanr silenced plant: 52.46 ng/g | total anthocyanin content increased from 12.39 ng/g fw to 413.83 ng/g fw | expression level of means was highest among the genes in pl vs. sc9 | expression level of meanr was significantly down-regulated in pl | expression level of mechs was significantly up-regulated in pl | expression level of mechi was significantly up-regulated in pl,,"above-ground biomass property, leaf property",meanr,,vigs,knockdown/out
10298014.pdf,10.3390/genes14061132,aralia elata,rhizobium-mediated transformation,increased squalene accumulation,squalene accumulation increased by approximately 3-fold compared with wild type; seven ciwujianosides increased by 2- to 2.5-fold | squalene content increased by approximately 3-fold; oa content decreased by 2-2.5-fold,camv 35s promoter,"above-ground biomass property, biosensing, biofuel precursors, gene expression, plant transformation, seed property, seed yield",pnss,,unknown,modification
10301586.pdf,10.3390/plants12122284,oryza sativa,rnai-mediated knockdown,"decreased seed viability, reduced mitochondrial metabolism, impaired seed development",seed width: 2.5 mm; seed length: 4 mm; 100-grain weight: 1.5 g; germination rate: 96.5%; germination rate at p50: 13.6 d,,"seed property, seed dormancy, seed yield",osaox1a,,rnai,modification
10310818.pdf,10.1038/s41467-023-39426-0,n. benthamiana,crispr/cas9 knockout,enhanced resistance against late infection of cmv,knockout of visp1 leads to 1.5-fold increase in cmv 2b protein accumulation; overexpression of visp1 results in 2.0-fold reduction in cmv 2b protein accumulation,,"disease resistance, virus infection",visp1,,crispr/cas9,knockdown/out
10315917.pdf,10.3389/fpls.2023.1167789,catalpa fargesii,virus-induced gene silencing (vigs),leaf color,m6a methylation level increased by 1.59 times in yellow leaves (y1) compared to green leaves (g1); 1.47 times in light green leaves (y2) compared to green leaves (g2),,leaf property,cfalkbh5,,vigs,knockdown/out
10319422.pdf,10.3389/fpls.2023.1210134,oryza sativa,crispr/cas9 gene editing technology with frameshift mutations,lysine content,lysine level in knockout mutants; lysine level in wild type | lysine content increased in mutants,,"plant transformation, nutrient utilization","oslc4, oslc3",,crispr/cas9,mutation
10320291.pdf,10.3389/fpls.2023.1213662,scutellaria baicalensis,plant transformation via somatic embryogenesis,increased baicalin biosynthesis,baicalin content increased by 14%; wogonoside content increased by 13%,,"pharmaceutical precursors, above-ground biomass property",sbwrky75,,unknown,modification
10320761.pdf,10.1093/g3journal/jkad100,oryza sativa,overexpression,dwarf plant stature and aberrant panicle development,plant height: 45 cm; wt plant height: 90 cm; panicle length: 10 cm; wt panicle length: 30 cm; grain number per panicle: 50; wt grain number per panicle: 200; primary branch number: 12; wt primary branch number: 15; secondary branch number: 1; wt secondary branch number: 30 | plant height: 45 cm; panicle length: 10 cm; grain number per panicle: 51.5 grains,,"above-ground biomass property, flowering, fruit property, fruit yield",oswus,,unknown,overexpression
10324140.pdf,10.1186/s13007-023-01041-x,oryza sativa,agrobacterium-mediated overexpression,increased chloroplast area in bundle sheath cells,chloroplast area: 7-54 µm²; chloroplast number: 8-25 per cell,zmubi,"photosynthesis, chloroplast development",zmg2,,agrobacterium,overexpression
10345981.pdf,10.1002/pld3.507,eucalyptus,crispr/cas9 knockout,male-sterility,pollen production decreased; floral development altered | pollen development abnormal; meiosis affected | pollen production reduced; stigma development affected | abnormal pollen grains; complete absence of visible stigma,medicago truncatula u6,"gene expression, flowering, fruit property, seed property",etdf1,,crispr/cas9,knockdown/out
10346376.pdf,10.1111/mpp.13342,solanum tuberosum,agrobacterium-mediated transient transformation,enhanced susceptibility to r. solanacearum,increased disease severity; increased electrolyte leakage,camv 35s promoter,disease resistance,ripbt,,agrobacterium,modification
10346813.pdf,10.3390/plants12132474,vernicia fordii,gateway cloning method,increased expression of vfrr17 gene leading to female flower differentiation,expression level increased 3.47-fold at 24 hours post-treatment; peak expression at 1 dbf in female flowers (5.63-fold increase); peak expression at 20 dbf in male flowers (2.01-fold increase),,not explicitly named,vfrr17,,unknown,modification
10351383.pdf,10.3389/fpls.2023.1147932,gossypium hirsutum,virus-induced gene silencing (vigs),reduced drought resistance,increased mda content; decreased pod activity; decreased cat activity,,"drought tolerance, plant transformation",ghvamp72l,,vigs,knockdown/out
10361821.pdf,10.3389/fgeed.2023.1171969,zea mays,crispr/cas9,drought tolerance,improved water use efficiency; reduced water requirement | increased yield under pest pressure; reduced insect damage,,"drought tolerance, abiotic-stress-tolerant",cspb,,crispr/cas9,modification
10363504.pdf,10.1016/j.xplc.2023.100570,arabidopsis thaliana,repression,flowering time delay,leaf number at bolting: wt (23°c) = 10; wt (16°c) = 30; hos15-2 (23°c) = 10; hos15-2 (16°c) = 10 | gi-ha protein levels at 23°c: wt = 1.0; hos15-2 = 1.0; cop1-4 = 1.0; hos15-2 cop1-4 = 1.0 | flowering time ratio at 16°c/23°c: 2.2 (hos15ha); 1.8 (hos15ha),,"flowering, above-ground biomass property",hos15,,unknown,modification
10363759.pdf,10.1111/pbi.14069,glycine max,crispr/cas9-mediated knockout,flowering time delay; increased grain yield,flowering time: 50 days after emergence (dae); grain yield increase: 60% to 87%,35s promoter,flowering; grain property; grain yield,toe4b,,crispr/cas9,knockdown/out
10374103.pdf,10.1371/journal.ppat.1011498,schistosoma,rna interference (rnai),tegument shedding and formation of oversized bulb-like structures,67% of treated worms showed significant changes in tegument | tegument thickness reduced by 30%,,"disease resistance, nutrient utilization",vamp2,,rnai,knockdown/out
10375722.pdf,10.3389/fphys.2023.1224009,riptortus pedestris,rna interference (rnai),disruption of olfactory recognition,silencing efficiency: 80% at day 3; 85% at day 5; 85% at day 7,,"disease resistance, pest resistance",rpedorco,,rnai,knockdown/out
10380932.pdf,10.3390/ijms241411477,glycine max,agrobacterium-mediated overexpression,reduced drought tolerance,"decreased expression of stress-responsive genes atrd29a, atrd29b, atp5cs2, and atkin1 | survival rate decreased; water loss increased",camv 35s,"drought tolerance, stress responses",gmcamta2,,agrobacterium,overexpression
10381798.pdf,10.3390/jof9070723,clonostachys rosea,crispr/cas9 knockout,reduced accumulation of 15-adon-3g,normalized peak area: 0.06 (median),,"disease resistance, detoxification",crugt3,,crispr/cas9,knockdown/out
10392026.pdf,10.1093/hr/uhac260,vitis vinifera,rna interference (rnai) and overexpression (oe),altered fruit ripening and sugar accumulation,"soluble solids concentration: 12 g/100 g fw (rnai), 15 g/100 g fw (wt), 18 g/100 g fw (oe); sugar content: sucrose (suc): 1 mg/g fw (rnai), 1 mg/g fw (wt), 7 mg/g fw (oe); glucose (glc): 1 mg/g fw (rnai), 1 mg/g fw (wt), 7 mg/g fw (oe); fructose (fru): 1 mg/g fw (rnai), 1 mg/g fw (wt), 7 mg/g fw (oe)",,"fruit property, fruit yield",vvvpt1,,rnai,overexpression
10397291.pdf,10.1038/s41467-023-40362-2,cannabis sativa,site-directed mutagenesis,trpv6 inhibition by thcv,ic50 value: 15.4 ± 2.3 µm,,"gene expression, disease resistance",trpv6,,unknown,modification
10405317.pdf,10.1016/j.isci.2023.107362,gossypium hirsutum,virus-induced gene silencing (vigs),chilling tolerance,expression level of ghcan1 increased under cold stress; expression level of snrk2.8 increased in trv2::can1-infected plants | expression level of gbcan1 increased under cold stress; expression level of snrk2.8 increased in trv2::can1-infected plants,,"disease resistance, cold tolerance",can1,,vigs,knockdown/out
10415200.pdf,10.21769/bioprotoc.4784,arabidopsis thaliana,golden gate cloning with bpi1 site removal,gene expression,transgene expression level relative to endogenous control; ct values from qpcr,,gene expression,endogenous gene,,unknown,modification
10418933.pdf,10.3390/ijms241512126,east african highland banana,agrobacterium-mediated rnai,resistance to radopholus similis,necrosis index reduced by 92-85%; female nematode count reduced by 92-85%,zea mays ubi promoter,"disease resistance, pest resistance",rps13,,agrobacterium,modification
10423179.pdf,10.1007/s42994-023-00106-8,sorghum bicolor,knockout,increased alkaline tolerance,grain yield increased by 20-28%; alkaline tolerance improved,,"disease resistance, plant transformation",sbat1,,unknown,knockdown/out
10442685.pdf,10.1089/can.2021.0181,cannabis sativa,agrobacterium-mediated overexpression,increased levels of δ⁹-thc in serum,100 pmol/ml (aqueous); 60 pmol/ml (lipid) | 40 pmol/ml (aqueous); 60 pmol/ml (lipid),,"pharmaceutical precursors, chemicals",thc,,agrobacterium,overexpression
10447600.pdf,10.1007/s11356-023-28833-x,oryza sativa,overexpression,arsenic tolerance,shoot length increased by 20%; root biomass decreased by 10% | shoot length under acute as(iii): wt - 32% reduction; oe - 20% reduction; shoot length under acute as(v): wt - 21% reduction; oe - 16% reduction; root biomass under chronic as(iii): wt - significant reduction; oe - reduced but less significant,maize ubi1 | maize ubil promoter,"disease resistance, detoxification",osgstu40,,unknown,overexpression
10469158.pdf,10.1007/s12192-022-01316-7,solanum lycopersicum,agrobacterium-mediated overexpression,increased tolerance to er stress elicitor tunicamycin,relative hypocotyl elongation: 120%; relative root elongation: 150% | relative hypocotyl elongation: 80%; relative root elongation: 90%,,not explicitly named,hsfa1a,,agrobacterium,overexpression
10476381.pdf,10.1186/s12864-023-09588-8,n. tabacum l.,rna interference (rnai) suppression,increased anatabine accumulation; reduced nicotine content,anatabine: ~1.6x increase; nicotine: near-complete reduction,,"disease resistance, chemicals",mpo,,rnai,knockdown/out
10485273.pdf,10.3389/fpls.2023.1239191,pilosella piloselloides,ems-induced point mutation,parthenogenesis,allele sequence divergence (asd) analysis; transposable element insertion in promoter,contains transposable element insertion,"gene expression, disease resistance",par,,unknown,mutation
10486898.pdf,10.3389/fpls.2023.1242240,vitis vinifera,crispr/cas9 knockout,reduced susceptibility to downy mildew,endogenous salicylic acid levels increased; reduced dm severity,,"disease resistance, gene expression",vvidmr6-1; vvidmr6-2,,crispr/cas9,knockdown/out
10490167.pdf,10.3390/plants12173030,glycine soja,agrobacterium-mediated overexpression,increased salt tolerance,fresh weight per plant increased by 22.22%; leaf chlorophyll content increased by 42.94%; mda content decreased by 62.62%,35s promoter,"disease resistance, photosynthesis, plant transformation",gswrky23,,agrobacterium,overexpression
10504582.pdf,10.1016/j.xplc.2023.100605,oryza sativa l.,crispr/cas9-mediated editing,enhanced resistance to hppd-inhibiting herbicides,gr50 wt: 71.14 ± 6.12 g ai ha⁻¹; gr50 ts8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; gr50 ts8-8#-6: 263.87 ± 19.34 g ai ha⁻¹; resistance index ts8-2#-10: 4.8-fold; resistance index ts8-8#-6: 3.7-fold | gr50 value for wt: 71.14 ± 6.12 g ai ha⁻¹; gr50 value for ts8-2#-10: 338.63 ± 26.33 g ai ha⁻¹; gr50 value for ts8-8#-6: 263.87 ± 19.34 g ai ha⁻¹,string,"herbicide resistance, plant transformation",oshppd,,crispr/cas9,modification
10514960.pdf,10.1186/s43897-023-00064-1,lilium,agrobacterium-mediated overexpression,thermotolerance,relative ion leakage: 0.3 (hs); survival rate: 40% (oe-1) | relative expression of llc3h18: 50% (oe); relative expression of llwrky33: 50% (oe),llc3h18 promoter | llmyb305 promoter,"disease resistance, thermotolerance",llc3h18,,agrobacterium,overexpression
10514982.pdf,10.1186/s43897-021-00011-y,solanum lycopersicum,rna interference (rnai),delayed fruit ripening,expression levels of sldof1 mrna in fruits: wt vs rnai lines; lycopene accumulation: wt vs rnai lines; ethylene production: wt vs rnai lines,camv 35s promoter,"fruit property, fruit ripening regulation",sldof1,,rnai,knockdown/out
10515147.pdf,10.1073/pnas.2306494120,triticum aestivum,ems-induced point mutation,altered vrn-a1 expression; reduced spikelet number per spike,expression increased by 33.6%; spikelet number reduced by 10%,vrn-a1 promoter,"gene expression, flowering, above-ground biomass property",vrn-a1,,unknown,mutation
10530544.pdf,10.3390/ijms241813766,pinus massoniana,overexpression using agrobacterium-mediated transformation,"increased flavonoid and lignin content, altered secondary wall composition",lignin content increased by 0.15% and 2.54%; flavonoid content significantly increased,35s promoter,"above-ground biomass property, biosensing, disease resistance, wood biomass property",pmmyb6,,agrobacterium,overexpression
10539295.pdf,10.1038/s41467-023-41833-2,triticum aestivum,ems-induced point mutation,leaf rust resistance,transcript levels of lr47 increased upon infection; resistance infection types (its) 0-2,,disease resistance,lr47,,unknown,mutation
10541219.pdf,10.3389/fpls.2023.1253640,nicotiana tabacum,meganuclease-mediated genome editing,cytoplasmic male sterility (cms) and abortive seed traits,seed weight decreased by 7.3 to 14.4 times; germination rate 0% | none explicitly provided,camv 35s | camv 35s promoter,"above-ground biomass property, seed property, hybrid seed production",atp1,,unknown,modification
10559629.pdf,10.1186/s13007-023-01080-4,daucus carota,electrofusion of protoplasts using direct current (dc) at 2.0 kv/cm² for 90 µs,differentiation of parental accessions,1470 bp; 1730 bp; 2420 bp | 1180 bp; 900 bp | 1470 bp; 1730 bp,,"gene expression, above-ground biomass property, biosensing",dcs-ilp225,,unknown,modification
10579712.pdf,10.1111/pbi.14134,oryza sativa,knockout mutation,disruption of dna methylation at sdmv shores and loss of long-range chromatin interactions,decrease in long-range interaction loops; increase in sdmv size,,dna methylation; chromatin organization; gene regulation,osdrm2,,unknown,knockdown/out
10579719.pdf,10.1111/pbi.14139,triticum aestivum,nanocarrier-mediated rnai,reduced aphid performance,survival rate: 75%; aphid fecundity: 6 nymphs per aphid,,"disease resistance, pest resistance",smcsp4,,rnai,modification
10579720.pdf,10.1111/pbi.14128,malus domestica,agrobacterium-mediated overexpression,enhanced cold tolerance,higher survival rate; lower electrolyte leakage | lower survival rate; higher electrolyte leakage,,"disease resistance, cold tolerance",mdhda6,,agrobacterium,overexpression
10602607.pdf,10.1093/plphys/kiad446,arabidopsis thaliana,t-dna insertional knockout,"decreased psii function, growth retardation, pale leaves",leaf area reduction; reduced fv/fm ratio,,"photosynthesis, above-ground biomass property",deap2,,unknown,knockdown/out
10604874.pdf,10.3390/biom13101456,lysmata vittata,rnai silencing,impaired female sexual differentiation; increased male sexual differentiation,relative expression levels of lvit-iag1: 8.667; lvit-iag2: 33.143; average oocyte diameter: 37.00 ± 0.95 μm,,"disease resistance, pest resistance",lvit-il-17r,,rnai,knockdown/out
10620694.pdf,10.3389/fmicb.2023.1254246,thrips palmi,rna interference (rnai) using dsrna,silencing leads to decreased gene expression and increased mortality,expression reduced by 3.62-fold; 60% mortality | expression reduced by 3.15-fold; 50.9% mortality,,"disease resistance, pest resistance",btk29a,,rnai,knockdown/out
10621845.pdf,10.1371/journal.pone.0288278,nasonia vitripennis,rnai knockdown,"sex reversal in diploid eggs, producing diploid males",males with rnai knockdown showed reduced mating success; 11/15 trials won against wpl diploid males (p=0.118),,"gene expression, sex determination",tra,,rnai,modification
10638494.pdf,10.1093/pnasnexus/pgad353,arabidopsis thaliana,overexpression using transgenic lines (oe:smr5 and oe:smr4),root growth inhibition; increased drought tolerance,root length decreased by 25%; drought tolerance increased by 30% | root length decreased by 20% | root length decreased by 15% | root length decreased by 25%; drought tolerance increased by 80%,,"drought tolerance, root property",smr5,,unknown,overexpression
10651926.pdf,10.1038/s41598-023-47095-8,cassava,gene expression,storage root initiation,increased expression in fr8; continuous increase after transition | highly expressed across all stages | declined with increased tre1 expression | gene expression levels increased at transition stage; t6p levels increased | expression levels increased during sr development,,"storage, root property, root yield",tre1,,unknown,modification
10654080.pdf,10.1128/msystems.00391-23,edwardsiella tarda,markerless gene deletion,reduced survival under oxidative stress,survival rate: 15% (h2o2 treatment); 35% (control),,disease resistance,etae_0310,,unknown,modification
10665551.pdf,10.1038/s41598-023-47480-3,nicotiana benthamiana,agrobacterium-mediated overexpression in nicotiana benthamiana,production of recombinant oo-asp-1 with specific n-glycosylation patterns,protein expression levels; glycan composition analysis | 45%; 57%,arabidopsis thaliana chitinase gene (csp),"gene expression, plant transformation, vaccine development",oo-asp-1,,agrobacterium,overexpression
